,Incident Number,Incident Types,Reported Date,Nearest Populated Centre,Company,Status,Latitude,Approximate Volume Released (m3),Substance,Release Type,Significant,Year,Occurrence Date and Time,Discovered Date and Time,Duration of interruption of pipeline operations,Pipeline or Facility Type,Activity being performed at time of incident,How the incident was discovered,Closed Date,Pipeline or facility equipment involved,Rupture,Released substance type,Released volume (m3),Pipe body release,Residual effects on the environment,Source of Explosion,Source of Fire,Activity at time of fatality,Number of fatalities,Type of Injury,Number of individuals injured,Workdays lost,Work restricted by injury,Conditions that resulted in the operation beyond  limits,Conditions that resulted in adverse effects on the environment,Number of people evacuated,Regulation,Pipeline Name,Pipeline outside diameter (NPS),Pipeline length (km),Substance carried,Facility Name,Facility Type,Facility latitude,Facility longitude,Country,Affects Company Property,Off Company Property,Affects Pipeline right-of-way,Affects off Pipeline right-of-way,Population Density,Kilometre post,Emergency Level,Investigation Type,Was NEB Staff Deployed,Related NEB event number,Equipment or component involved,Design standard,Nominal pipe size,Material,Material grade,Schedule,Design wall thickness (mm),Custom design wall thickness (mm),Actual wall thickness (mm),Licensed maximum operating pressure (kPa),Restricted operating pressure (kPa),Actual operating pressure at time of failure (kPa),Designed depth of cover (m),Actual depth of cover (m),Year of manufacture,Year of installation,Year when put into service,Most recent cathodic protection reading at incident site (mV vs. Cu/CuSO4),Weld type ,Seam type,Seam joining method,Seam clock position,Coating location,Coating type,Coating condition,Application method,Year when the coating was applied,Insulation installed,Repair type,Repair date,Equipment or component has never been inspected,Most recent inspection date for the failed equipment or component,Type of most recent inspection,Most recent inspection part of the routine inspection program,No maintenance done on this equipment or component,Date of the most recent maintenance work for the failed equipment or component,Most recent maintenance Type,Most recent maintenance work part of the routine maintenance program,Longitude,Release of substance,Alberta,Manitoba,British Columbia,Saskatchewan,Ontario,New Brunswick,Nova Scotia,Quebec,Northwest Territories,Natural,Unknown Land,Forests,Industrial,Agricultural Cropland,Shrub Land,Vegetative Barren,Tundra / Native Prairie / Parks,Barren Land,Small Commeicial,Water / Wetlands,Residential,Frost heave,Freeze-thaw,Frozen components,Soil/Slope,High winds,Rains/Floods,Adverse weather,Month of occurrence,Spring,Summer,Fall,Winter
302,INC2011-089,Release of Substance,6/6/2011,Saint John,Emera Brunswick Pipeline Company Ltd.,Closed,45.30744,0,Natural Gas - Sweet,Gas,No,2011,,2011/06/06 06:40:00 AM Atlantic,,,Operation,Employee / Contractor (Onsite),3/19/2014,Yes,No,Natural Gas - Sweet,,No,No,,,,,,,,,,,0,OPR,Emera - Red Head Metre Station,,,,,,,,Canada,Yes,No,No,No,0,,Level I,Standard Review - 168 days,No,,"Station/Facility, Pumping, Pump",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-66.04273,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0
303,INC2011-090,Fatality,6/7/2011,Dawson Creek,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.81189,0,Not Applicable,Not Applicable,Yes,2011,,2011/06/07 08:05:00 AM Mountain,,,Construction,Employee / Contractor (Onsite),9/13/2011,No,No,,,,No,,,Vehicle Accident,1,,,,,,,0,OPR,WEI - Sunset Creek Compressor Station,,,,,,,,Canada,Yes,No,No,No,0,,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-120.86837,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0
304,INC2011-092,Release of Substance,6/9/2011,Taylor,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.14635,3.6,Natural Gas - Sour,Gas,Yes,2011,,2011/06/08 09:49:00 PM Mountain,,,Operation,,4/16/2012,Yes,No,Natural Gas - Sour,3.6,No,No,,,,,,,,,,,0,PPR,WEI - McMahon Gas Plant (Taylor Gas Plant),,,,,,,,Canada,No,No,No,No,0,,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-120.66936,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0
305,INC2011-094,Release of Substance,6/17/2011,Fort St. John,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.254,0.0001,Natural Gas - Sweet,Gas,No,2011,2011-06-16,2011/06/16 08:55:00 PM Mountain,,,Operation,3rd Party / Other Company,12/29/2011,Yes,No,Natural Gas - Sweet,0.0001,No,No,,,,,,,,,,,0,OPR,,,,,,,,,Canada,No,No,Yes,No,0,Mile Post 19.3,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-120.716,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0
306,INC2011-095,Operation Beyond Design Limits,6/21/2011,Hardisty,TransCanada Keystone Pipeline GP Ltd.,Closed,52.64129,0,Not Applicable,Not Applicable,No,2011,2011-06-21,2011/06/21 06:27:00 AM Mountain,,,Maintenance,Employee / Contractor (Onsite),3/1/2017,Yes,No,,,,No,,,,,,,,,Over Pressure,,0,OPR,,,,,,,,,Canada,Yes,No,No,No,0,,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-111.2708,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0
307,INC2011-100,Release of Substance,6/27/2011,Lincoln,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.806186,0,Natural Gas - Sweet,Gas,No,2011,,2011/06/22 12:00:00 AM Mountain,,,Operation,Employee / Contractor (Onsite),3/17/2014,Yes,No,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,Mainline,"762.00000000, 863.60000000",574.8807991,Natural Gas,,,,,Canada,No,No,Yes,No,0,Mainline Valve + Offset (km),Level I,Standard Review - 168 days,No,,"Pipeline, Fitting, Other (please explain)",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-66.593942,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0
308,INC2011-099,Release of Substance,6/27/2011,Saint John,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.27811111,0,Natural Gas - Sweet,Gas,No,2011,2011-06-15,2011/06/15 12:00:00 AM Atlantic,,,Operation,Employee / Contractor (Onsite),3/17/2014,Yes,No,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,MNE - Grandview Meter Station,,,,,,,,Canada,Yes,No,No,No,0,,Level I,Standard Review - 168 days,No,,"Station/Facility, Metering, Delivering, Fitting",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-66.0088056,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0
309,INC2011-101,Release of Substance,6/27/2011,Fredericton,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.881317,0,Natural Gas - Sweet,Gas,No,2011,,2011/06/22 12:00:00 AM Mountain,,,Operation,Employee / Contractor (Onsite),3/17/2014,Yes,No,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,MNE - Fredericton Meter Station,,,,,,,,Canada,Yes,No,No,No,0,,Level I,Standard Review - 168 days,No,,"Station/Facility, Metering, Delivering, Fitting",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-66.551169,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0
310,INC2011-102,Release of Substance,6/27/2011,Gaspereau,Maritimes & Northeast Pipeline Management Ltd.,Closed,47.590212,0,Natural Gas - Sweet,Gas,No,2011,,2011/06/23 12:00:00 AM Mountain,,,Operation,Employee / Contractor (Onsite),3/17/2014,Yes,No,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,Mainline,"762.00000000, 863.60000000",574.8807991,Natural Gas,,,,,Canada,No,No,Yes,No,0,Mainline Valve + Offset (km),Level I,Standard Review - 168 days,No,,"Pipeline, Fitting, Other (please explain)",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-64.959858,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0
311,INC2011-104,Release of Substance,6/30/2011,Red Deer,NOVA Gas Transmission Ltd.,Closed,52.24822,0,Natural Gas - Sweet,Gas,No,2011,2011-06-30,2011/06/30 10:00:00 AM Mountain,,,Operation,3rd Party / Other Company,3/31/2014,Yes,No,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,,,,,,,,,Canada,No,No,Yes,No,0,Legal Subdivision SW11-38-26W4,Level I,Standard Review - 168 days,No,,"Pipeline, Pipe, Body",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-113.61774,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0
312,INC2011-105,Fire,7/7/2011,Edson,NOVA Gas Transmission Ltd.,Closed,53.96088,0,Not Applicable,Not Applicable,No,2011,2011-07-07,2011/07/07 02:30:00 PM Mountain,,,Operation,Employee / Contractor (Onsite),3/31/2014,Yes,No,,,,No,,Other Event (Nature or 3rd Party),,,,,,,,,0,OPR,NGTL - Knight Compressor Station,,,,,,,,Canada,Yes,No,No,No,0,,Level I,Standard Review - 168 days,No,,"Station/Facility, Compression, Valve",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-116.46033,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0
313,INC2011-106,Release of Substance,7/8/2011,Burstall,TransCanada PipeLines Limited,Closed,50.67653,0,Natural Gas - Sweet,Gas,No,2011,2011-05-19,2011/05/19 09:20:00 AM Central,,,Operation,Employee / Contractor (Onsite),9/5/2014,Yes,No,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,TCPL - Station 2 (Burstall Compressor Station),,,,,,,,Canada,Yes,No,No,No,0,,Level I,Standard Review - 168 days,No,,"Station/Facility, Compression, Fitting",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-109.97885,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0
314,INC2011-109,Release of Substance,7/22/2011,Caledonia,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.37514774,113,Natural Gas - Sweet,Gas,No,2011,2011-07-19,2011/07/19 01:00:00 PM Atlantic,,,Operation,Employee / Contractor (Onsite),3/14/2012,Yes,No,Natural Gas - Sweet,113,No,No,,,,,,,,,,,0,OPR,Mainline,"762.00000000, 863.60000000",574.8807991,Natural Gas,,,,,Canada,No,No,Yes,No,0,Mainline Valve + Offset (km) 0,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-62.452671,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0
315,INC2011-114,Release of Substance,8/4/2011,Halifax,Maritimes & Northeast Pipeline Management Ltd.,Closed,44.648901,934,Natural Gas - Sweet,Gas,No,2011,2011-08-04,2011/08/04 09:30:00 AM Atlantic,,,Operation,Employee / Contractor (Onsite),3/20/2012,Yes,No,Natural Gas - Sweet,934,No,No,,,,,,,,,,,0,OPR,Halifax Lateral,323.9,126.1401343,Natural Gas,,,,,Canada,No,No,Yes,No,0,Kilometer Post 77,Level I,Standard Review - 168 days,No,,"Pipeline, Fitting, Tee, Body",,NPS 1/2,,,,,,,0,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-63.575335,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0
316,INC2011-115,Release of Substance,8/4/2011,Fredericton,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.45872,0,Natural Gas - Sweet,Gas,No,2011,2011-08-02,2011/08/02 10:00:00 AM Atlantic,,,Construction,Employee / Contractor (Onsite),3/17/2014,Yes,No,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,MNE - MLV 518,,,,,,,,Canada,No,No,Yes,No,0,,Level I,Standard Review - 168 days,No,,"Pipeline, Fitting, Other (please explain)",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-67.02456,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0
317,INC2011-119,Fire,8/6/2011,Consort,TransCanada Keystone Pipeline GP Ltd.,Closed,51.92351,0,Not Applicable,Not Applicable,No,2011,2011-08-04,2011/08/04 12:00:00 PM Mountain,,,Construction,Employee / Contractor (Onsite),1/23/2017,No,No,,,,No,,Welding or Cutting,,,,,,,,,0,OPR,,,,,,,,,Canada,Yes,No,No,No,0,,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-110.63297,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0
318,INC2011-116,Fire,8/4/2011,Herbert,TransCanada Keystone Pipeline GP Ltd.,Closed,50.53923,0,Not Applicable,Not Applicable,No,2011,2011-08-04,2011/08/04 11:00:00 AM Mountain,,,Construction,Employee / Contractor (Onsite),8/26/2016,No,No,,,,No,,Welding or Cutting,,,,,,,,,0,OPR,TCP Keystone - Herbert Pump Station #13,,,,,,,,Canada,Yes,No,No,No,0,,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-107.30765,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0
319,INC2011-120,Fire,8/6/2011,Oyen,TransCanada Keystone Pipeline GP Ltd.,Closed,51.42256,0,Not Applicable,Not Applicable,No,2011,2011-08-05,2011/08/05 11:45:00 AM Mountain,,,Construction,Employee / Contractor (Onsite),1/23/2017,No,No,,,,No,,Welding or Cutting,,,,,,,,,0,OPR,,,,,,,,,Canada,Yes,No,No,No,0,,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-110.54117,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0
320,INC2011-125,Fire,8/9/2011,Rapid City,TransCanada Keystone Pipeline GP Ltd.,Closed,50.0749,0,Not Applicable,Not Applicable,No,2011,2011-08-09,2011/08/09 11:00:00 AM Mountain,,,Operation,Employee / Contractor (Onsite),3/31/2014,Yes,No,,,,No,,Housekeeping,,,,,,,,,0,OPR,TCP Keystone - Rapid City Pump Station 23,,,,,,,,Canada,Yes,No,No,No,0,,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-100.00047,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0
321,INC2011-127,Release of Substance,8/16/2011,Meanook,NOVA Gas Transmission Ltd.,Closed,54.46884,0,Natural Gas - Sweet,Gas,No,2011,2011-08-15,2011/08/15 09:37:00 AM Mountain,,,Operation,3rd Party / Other Company,3/15/2012,Yes,No,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,,,,,,,,,Canada,Yes,No,No,No,0,,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-113.21624,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0
322,INC2011-129,Operation Beyond Design Limits,8/17/2011,Toronto,Trans-Northern Pipelines Inc.,Closed,43.768426,0,Not Applicable,Not Applicable,No,2011,2011-08-16,2011/08/16 12:00:00 PM Eastern,,,Operation,Employee / Contractor (Onsite),5/16/2012,Yes,No,,,,No,,,,,,,,,Over Pressure,,0,OPR,Mainline,273.1,635.0188165,Refined Products-Aviation,,,,,Canada,Yes,No,No,No,0,,Level I,Standard Review - 168 days,No,"INC2015-002, INC2016-008",,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-79.485336,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0
323,INC2011-131,Fire,8/21/2011,White City,TransCanada PipeLines Limited,Closed,50.39317,0,Not Applicable,Not Applicable,No,2011,2011-08-21,2011/08/21 04:35:00 AM Mountain,,,Maintenance,Employee / Contractor (Onsite),1/23/2017,No,No,,,,No,,Equipment & Electrical,,,,,,,,,0,OPR,TCPL - Station 17 (Regina Compressor Station),,,,,,,,Canada,Yes,No,No,No,0,,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-104.40937,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0
324,INC2011-132,Fire,8/22/2011,Grande Prairie,NOVA Gas Transmission Ltd.,Closed,55.12635,0,Not Applicable,Not Applicable,No,2011,2011-08-22,2011/08/22 09:00:00 AM Mountain,,,Operation,Employee / Contractor (Onsite),1/23/2017,Yes,No,,,,No,,Equipment & Electrical,,,,,,,,,0,OPR,NGTL - Clarkson Valley Compressor Station,,,,,,,,Canada,Yes,No,No,No,0,Legal Subdivision 14-6-71-25 W5,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-117.83833,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0
325,INC2011-133,Fire,8/23/2011,Manning,NOVA Gas Transmission Ltd.,Closed,57.19241,0,Not Applicable,Not Applicable,No,2011,2011-08-22,2011/08/22 11:55:00 PM Mountain,,,Operation,Employee / Contractor (Onsite),1/23/2017,Yes,No,,,,No,,Equipment & Electrical,,,,,,,,,0,OPR,,,,,,,,,Canada,Yes,No,No,No,0,,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-118.19542,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0
326,INC2011-134,Fire,8/29/2011,White City,Enbridge Pipelines Inc.,Closed,50.44344,0,Not Applicable,Not Applicable,No,2011,2011-08-25,2011/08/25 01:45:00 PM Mountain,,,Construction,Employee / Contractor (Onsite),4/18/2012,Yes,No,,,,No,,Equipment & Electrical,,,,,,,,,0,OPR,,,,,,,,,Canada,No,Yes,No,Yes,0,,Level I,Standard Review - 168 days,No,,Vehicle / mobile equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-104.35691,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0
327,INC2011-135,Release of Substance,8/31/2011,Grande Prairie,NOVA Gas Transmission Ltd.,Closed,54.83012,0,Natural Gas - Sweet,Gas,No,2011,,2011/08/31 07:25:00 AM Mountain,,,Operation,Employee / Contractor (Onsite),1/2/2013,Yes,No,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,,,,,,,,,Canada,No,No,Yes,Yes,0,,Level I,Standard Review - 168 days,No,,"Pipeline, Pipe, Body",,NPS 18,Carbon Steel,414 - X60,,5.6 mm = 0.219 in,,,724.8,,,,,1970,,,,,Spiral,Double Submerged Arc Welding,6 o'clock,External,Polyethylene Tape Wrap,,,,No,Replacement,9/25/2011,No,,,No,No,9/25/2011,Replacement,No,-118.64715,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0
328,INC2011-136,Serious Injury (CER or TSB),9/1/2011,Huntsville,TransCanada PipeLines Limited,Closed,45.51138,0,Not Applicable,Not Applicable,Yes,2011,2011-08-24,2011/08/24 04:00:00 PM Eastern,,,Construction,Employee / Contractor (Onsite),4/19/2012,No,No,,,,No,,,,,Fracture,1,,No,,,0,OPR,LINE 100-1,"508.00000000, 762.00000000, 863.60000000",2595.724534,Natural Gas,,,,,Canada,No,No,Yes,Yes,0,Mainline Valve + Offset (km) 18 km,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-79.31036,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0
329,INC2011-138,Release of Substance,9/2/2011,Wabasca,NOVA Gas Transmission Ltd.,Closed,55.84448,0,Natural Gas - Sweet,Gas,No,2011,,2011/09/01 01:45:00 PM Mountain,,,Operation,3rd Party / Other Company,3/20/2014,Yes,No,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,NGTL - Weaver Lake South Meter Station,,,,,,,,Canada,Yes,No,No,No,0,,Level I,Standard Review - 168 days,No,,"Station/Facility, Metering, Delivering, Valve",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-113.89141,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0
330,INC2011-141,Release of Substance,9/8/2011,Musquash,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.195347,0,Natural Gas - Sweet,Gas,No,2011,2011-09-08,2011/09/08 01:00:00 PM Eastern,,,Operation,Employee / Contractor (Onsite),3/12/2014,Yes,No,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,,,,,,,,,Canada,No,No,Yes,No,0,,Level I,Standard Review - 168 days,No,,"Pipeline, Fitting, Other (please explain)",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-66.401993,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0
331,INC2011-142,Release of Substance,9/9/2011,Albrights Corner,Maritimes & Northeast Pipeline Management Ltd.,Closed,46.022695,0,Natural Gas - Sweet,Gas,No,2011,,2011/09/09 03:30:00 PM Atlantic,,,Operation,Employee / Contractor (Onsite),3/20/2014,Yes,No,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,MNE - MLV 420,,,,,,,,Canada,No,No,Yes,No,0,Mainline Valve + Offset (km),Level I,Standard Review - 168 days,No,,"Pipeline, Fitting, Other (please explain)",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-66.189817,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0
332,INC2011-143,Release of Substance,9/9/2011,Noonan,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.963713,0,Natural Gas - Sweet,Gas,No,2011,,2011/09/09 03:30:00 PM Atlantic,,,Operation,Employee / Contractor (Onsite),3/21/2014,Yes,No,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,MNE - MLV 446,,,,,,,,Canada,No,No,Yes,No,0,Mainline Valve + Offset (km),Level I,Standard Review - 168 days,No,,"Pipeline, Fitting, Other (please explain)",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-66.52814,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0
333,INC2011-146,Fire,9/10/2011,Grande Prairie,NOVA Gas Transmission Ltd.,Closed,55.50563,0,Not Applicable,Not Applicable,No,2011,2011-09-10,2011/09/10 09:00:00 AM Mountain,,,Construction,Employee / Contractor (Onsite),3/31/2014,No,No,,,,No,,Welding or Cutting,,,,,,,,,0,OPR,,,,,,,,,Canada,Yes,No,No,No,3,,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-119.56184,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0
334,INC2011-152,Release of Substance,9/20/2011,Grenfell,TransCanada PipeLines Limited,Closed,50.28587,0,Natural Gas - Sweet,Gas,No,2011,2011-09-20,2011/09/20 09:00:00 AM Mountain,,,Operation,Employee / Contractor (Onsite),3/20/2014,Yes,No,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,TCPL - Station 21 (Grenfell Compressor Station),,,,,,,,Canada,Yes,No,No,No,3,Mainline Valve + Offset (km),Level I,Standard Review - 168 days,No,,"Station/Facility, Compression, Valve",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-102.95155,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0
335,INC2011-153,Release of Substance,9/26/2011,Saint George,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.129009,0,Natural Gas - Sweet,Gas,No,2011,2011-09-26,2011/09/26 12:00:00 PM Atlantic,,,Operation,Employee / Contractor (Onsite),3/17/2014,Yes,No,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,,,,,,,,,Canada,Yes,No,No,No,0,,Level I,Standard Review - 168 days,No,,"Station/Facility, Metering, Delivering, Valve",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-66.83136,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0
336,INC2011-154,Release of Substance,9/28/2011,Grande Prairie,NOVA Gas Transmission Ltd.,Closed,54.83025,0,Natural Gas - Sweet,Gas,No,2011,2011-09-27,2011/09/27 11:25:00 AM Mountain,,,Operation,Employee / Contractor (Onsite),3/20/2014,Yes,No,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,,,,,,,,,Canada,Yes,No,No,No,0,Legal Subdivision 10-26-067-5W6,Level I,Standard Review - 168 days,No,,"Station/Facility, Compression, Fitting",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-118.64722,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0
